"Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","rpt_dt"
"Pennsylvania","US","2020-07-04 04:34:04",40.5908,-77.2098,93392,6746,69217,17429,42,729.511640730202,804144,NA,7.22331677231455,84000042,"USA",6281.39892949447,NA,2020-07-03
"Puerto Rico","US","2020-07-04 04:34:04",18.2208,-66.5901,7683,154,NA,7529,72,261.913787649042,7683,NA,2.00442535467916,630,"PRI",261.913787649042,NA,2020-07-03
"Rhode Island","US","2020-07-04 04:34:04",41.6809,-71.5118,16991,960,1657,14374,44,1603.89140245865,250954,2019,5.65005002648461,84000044,"USA",23689.1862169742,11.8827614619504,2020-07-03
"South Carolina","US","2020-07-04 04:34:04",33.8569,-80.945,41532,793,16994,23745,45,806.64802900297,409032,2882,1.90937108735433,84000045,"USA",7944.35270632628,6.93922758355003,2020-07-03
"South Dakota","US","2020-07-04 04:34:04",44.2998,-99.4388,6978,97,6049,832,46,788.778501094772,82993,687,1.39008311837203,84000046,"USA",9381.35484972176,9.84522785898538,2020-07-03
"Tennessee","US","2020-07-04 04:34:04",35.7478,-86.6923,48712,633,29591,18488,47,713.292705677143,862489,2825,1.29947446214485,84000047,"USA",12629.477591287,5.79939234685498,2020-07-03
"Texas","US","2020-07-04 04:34:04",31.0545,-97.5635,185591,2592,93572,89427,48,640.059876090676,2013906,NA,1.39661944814134,84000048,"USA",6945.48994734804,NA,2020-07-03
"Utah","US","2020-07-04 04:34:04",40.15,-111.8624,23866,181,13408,10277,49,744.426470964373,356636,1529,0.758401072655661,84000049,"USA",11124.1631986445,6.40660353641163,2020-07-03
"Vermont","US","2020-07-04 04:34:04",44.0459,-72.7107,1236,56,967,213,50,198.080414879108,68395,NA,4.53074433656958,84000050,"USA",10960.9304010167,NA,2020-07-03
"Virgin Islands","US","2020-07-04 04:34:04",18.3358,-64.8963,98,6,75,17,78,91.3599582354477,3061,NA,6.12244897959184,850,"VIR",2853.60032815005,NA,2020-07-03
"Virginia","US","2020-07-04 04:34:04",37.7693,-78.17,64393,1845,8711,53837,51,754.412239021435,688360,9529,2.86521826906651,84000051,"USA",8064.65312771256,14.7981923501002,2020-07-03
"Washington","US","2020-07-04 04:34:04",47.4009,-121.4905,34778,1352,NA,33426,53,456.710291267389,584989,4442,3.88751509575019,84000053,"USA",7682.16966410428,12.7724423486112,2020-07-03
"West Virginia","US","2020-07-04 04:34:04",38.4912,-80.9545,3126,93,2396,637,54,174.427655767077,180702,NA,2.97504798464491,84000054,"USA",10082.9898440251,NA,2020-07-03
"Wisconsin","US","2020-07-04 04:34:04",44.2685,-89.6165,30317,796,24043,5478,55,520.692892353954,606984,3555,2.62558960319293,84000055,"USA",10424.9185134602,11.7260942705413,2020-07-03
"Wyoming","US","2020-07-04 04:34:04",42.756,-107.3025,1582,20,1154,408,56,273.343481483657,35275,119,1.26422250316056,84000056,"USA",6094.93761652087,7.52212389380531,2020-07-03
"Alabama","US","2020-07-05 04:34:00",32.3182,-86.9023,42862,1007,22082,19773,1,874.166485661871,442088,2906,2.34940040128785,84000001,"USA",9016.3434583847,6.77989827819514,2020-07-04
"Alaska","US","2020-07-05 04:34:00",61.3707,-152.4044,1107,16,544,547,2,151.323568611637,122732,NA,1.4453477868112,84000002,"USA",16777.0950522524,NA,2020-07-04
"American Samoa","US","2020-07-05 04:34:00",-14.271,-170.132,0,0,NA,0,60,0,696,NA,NA,16,"ASM",1250.87615247749,NA,2020-07-04
